4) Use ps command with options to display all active process running on the system

vijesh@vijesh-VirtualBox:~/eurtraining$ ps -e

    PID TTY          TIME CMD
   1704 ?        00:00:00 ibus-memconf
   1705 ?        00:00:01 ibus-extension-
   1706 ?        00:00:00 gsd-screensaver
   1715 ?        00:00:00 gsd-sharing
   1716 ?        00:00:00 gsd-smartcard
   1718 ?        00:00:00 gsd-sound
   1719 ?        00:00:00 ibus-portal
   1729 ?        00:00:00 gsd-wacom
   1735 ?        00:00:00 gsd-disk-utilit
   1755 ?        00:00:00 evolution-alarm
   1798 ?        00:00:00 gsd-printer
   1825 ?        00:00:01 ibus-engine-sim
   1847 ?        00:00:00 gjs
   1887 ?        00:00:00 xdg-desktop-por
   1895 ?        00:00:01 gjs
   1920 ?        00:00:00 gvfsd-metadata
   1944 ?        00:00:07 gnome-terminal-
   1962 pts/0    00:00:00 bash
   1992 ?        00:00:00 update-notifier
   2179 ?        00:00:07 snapd
   2960 ?        00:00:00 kworker/0:4-events
   3034 ?        00:00:01 kworker/1:0-events
   3127 ?        00:00:00 oosplash
   3145 ?        00:00:00 Xwayland
   3148 ?        00:00:00 gsd-xsettings
   3182 ?        00:00:00 ibus-x11
   3206 ?        00:00:14 soffice.bin
   3226 ?        00:00:05 kworker/u4:0-events_power_efficient
   3255 ?        00:00:00 gvfsd-network
   3270 ?        00:00:00 gvfsd-dnssd
   3323 ?        00:00:00 kworker/0:0-events
   3333 ?        00:00:02 kworker/u4:2-events_unbound
   3358 ?        00:00:01 kworker/u4:1-events_unbound
   3360 ?        00:00:01 kworker/u4:3-events_unbound
   3373 ?        00:00:00 kworker/1:2-events
   3382 pts/0    00:00:00 ps
